Time,Calculated Engine Load (OBD) (%),Intake air temperature (C),Fuel Injection amoung (mg/cyl),Engine load (%),Fuel tank pressure (Bar),Fuel Rail Pressure A (KPa),Engine Load (%),Actual AFR (AFR),Mass air flow sensor (V),Vehicle speed (kph),MAF Flow (g/s),Ignition timing (deg),Electronic throttle control actual (deg),Absolute Engine Load (OBD) (%),Fuel pulse width (ms),Absolute Throttle Position (OBD) (%),Air fuel ratio (AFR),Calculated torque output (%),Electronic throttle control desired (deg),Engine coolant temperature (C),Engine speed (RPM),Fuel Pressure (mPa),Fuel pressure (mPa),Fuel system status (OL/CL),Gear Status,Intake Air Temperature (C),Knock retard (deg),Mass air flow (g/s),Throttle Open Angle (sub) (%),
0, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 85, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
2641, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
2800, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
2959, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3128, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3295, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3454, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3620, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3778, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
3938, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4099, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4260, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4419, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4579, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4738, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
4899, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5060, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5219, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5379, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5541, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5708, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
5869, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6035, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6194, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6354, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6514, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6674, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6834, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
6994, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7155, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7313, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7474, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7635, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7799, 0, 39, 0, 0, 0.02, , 0, 14.7, 0.71, 0, , 0, 12.9, 0, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.45, 21.6,
7959, 100, 39, 0, 0.66, 0.02, , 100, 14.7, 0.81, 0, , 0, 12.9, 65.9, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 0.74, 21.6,
8119, 100, 39, 0, 0.66, 0.02, , 100, 14.7, 0.85, 0, , 0, 12.93, 65.9, 0, 22, 14.7, , 12.9, 84, 0, , , 1024, 70, 35, 0, 1.95, 21.6,
8280, 100, 39, 20.26, 0.41, 0.02, , 74.51, 14.7, 0.71, 0, , -5, 12.9, 65.9, 0, 22, 14.7, , 12.9, 84, 254, , , 1024, 70, 35, 0, 1.64, 21.6,
8441, 74.5, 39, 20.29, 0.4, 0.02, , 74.9, 14.7, 0.89, 0, , -5, 12.9, 41.6, 2.58, 22, 14.7, , 12.9, 84, 270, , , 1024, 70, 35, 0, 3.43, 21.6,
8599, 72.2, 39, 30.36, 0.34, 0.02, , 60.39, 14.7, 0.98, 0, , -7.5, 27.79, 40, 2.45, 22, 14.7, , 34.91, 84, 557, , , 256, 70, 35, 0, 6.34, 22.7,
8760, 58.4, 39, 16.54, 0.32, 0.02, , 51.76, 14.7, 0.68, 0, , -14, 0.24, 34.1, 4.22, 10.2, 14.7, , 0.28, 84, 782, , , 256, 70, 35, 0, 0.57, 9.4,
8919, 49.8, 39, 12.73, 0.3, 0.02, , 49.02, 14.7, 0.73, 0, , -15, 0.26, 31.8, 2.59, 9.8, 14.7, , 0.28, 84, 805, , , 256, 70, 35, 0, 0.58, 9.4,
9079, 47.5, 39, 11.23, 0.27, 0.02, , 45.88, 14.7, 0.72, 0, , -10, 0.26, 29.8, 2.02, 9.8, 14.7, , 0.28, 84, 748, , , 256, 70, 35, 0, 0.71, 9.4,
9240, 43.5, 39, 9.89, 0.24, 0.02, , 41.18, 14.7, 0.72, 0, , -3.5, 0.26, 26.3, 1.84, 9.8, 14.7, , 0.28, 84, 708, , , 256, 70, 35, 0, 0.66, 9.4,
9399, 39.6, 39, 9.49, 0.24, 0.01, , 40, 14.7, 0.74, 0, , 0, 2.98, 23.9, 1.79, 10.6, 14.7, , 3.8, 84, 702, , , 256, 70, 35, 0, 1.17, 10.2,
9559, 40.8, 38, 10.22, 0.25, 0.02, , 41.18, 14.7, 0.92, 0, , 2, 4.54, 24.3, 1.97, 13.7, 14.7, , 4.54, 84, 683, , , 256, 70, 35, 0, 3.07, 13.3,
9749, 42, 38, 10.83, 0.25, 0.01, , 42.35, 14.7, 0.98, 0, , 0, 4.85, 24.7, 2.06, 14.1, 14.7, , 4.59, 84, 694, , , 256, 70, 35, 0, 3.44, 13.7,
9910, 42.7, 38, 11.02, 0.25, 0.02, , 42.75, 14.7, 0.98, 0, , -0.5, 4.77, 25.5, 2.09, 14.1, 14.7, , 4.83, 84, 693, , , 256, 70, 35, 0, 3.33, 13.7,
